,ReschMwToSave,ReschTimeToSave,cTaskToSave,ms,mwtoSave,opTaskToSave,timetoSave
0,[[3 4]],[[ 2  5  7  8  9 10]],[[11 12 13 14 15 16 17 18 19 20]],5.982558953189358,"[[15.43136521 25.93410838 30.88256903 28.70553613 12.31092513 18.19516894
  18.25317489 24.88559793 23.05677434 27.07664282]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.4632083  0.69639809 0.30732616 0.92349857 0.51407179 0.48288142
  0.34355311 1.04982629 0.67779199 0.52400323]]"
1,[],[[4 7 9]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[13.68875603 26.9205713  12.61273277 16.67539301 15.48483341 21.6483174
  12.42147336 19.01162382 12.70177119 12.85796321]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.48676529 0.62750175 0.30574719 1.05438678 0.47056745 0.48882716
  0.33675156 0.94579065 0.68562636 0.49844804]]"
2,[[1]],[[1 3 4 6 7 9]],[[11 12 13 14 15 16 17 18 19 20]],6.09860354321317,"[[30.10895682 14.43667693 16.08975562 27.25443546 20.73967928 26.64812355
  18.81614165 16.23171468 11.28192732 24.6391932 ]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.52844279 0.63890799 0.34020154 1.09288453 0.4932485  0.51947522
  0.3505049  0.98652847 0.68743411 0.46097551]]"
3,[],[[3 6 7]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[10.66422616 19.38529709 24.26703667 25.68137302 21.65539517 12.7851767
  23.76709384 13.15649717 13.32036939 12.57047595]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.49295645 0.66026491 0.34062308 0.91188066 0.48158114 0.52727221
  0.34639422 0.92506644 0.61738439 0.45923523]]"
4,[[ 4 10]],[[ 8  9 10]],[[11 12 13 14 15 16 17 18 19 20]],5.911275001575379,"[[14.37310702 14.95264769 12.12428297 29.68980863 25.34101957 22.2135683
  17.08200879 13.99027482 23.57244244 31.24662943]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.46420272 0.62246463 0.31305195 0.96349596 0.4816429  0.47175633
  0.31670445 1.07858448 0.69379778 0.50557379]]"
5,[[4]],[[5 7 9]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[18.50824929 13.88381341 26.42036106 28.79333356 17.86631164 24.89624988
  16.67712131 21.64321538 27.98089111 23.04729403]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.4670432  0.63440402 0.32642064 0.91479895 0.51840961 0.49023883
  0.36548579 0.9804368  0.6827904  0.46543698]]"
6,[[5 6]],[[6 7]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[11.01311434 16.59389057 17.16793224 24.22749281 30.59565441 30.15034833
  20.11561301 15.55004633 26.54185683 26.44587505]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.48353113 0.63992866 0.33013982 0.98452913 0.48596063 0.50583192
  0.34946807 0.98486696 0.6572803  0.46248728]]"
7,[[2 6]],[[1 2 4 8]],[[11 12 13 14 15 16 17 18 19 20]],5.995118272610999,"[[24.48573154 29.28217688 21.34772238 25.25674845 13.72539791 30.52259847
  21.85856571 24.77441186 11.26782338 27.49328088]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.52406481 0.6991934  0.30703065 1.03631209 0.49632606 0.47121632
  0.30653726 1.06471489 0.6233658  0.46635699]]"
8,[[1 3 5]],[[1 3 5]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[29.89718787 24.22769767 30.08488501 13.93375974 29.84304237 27.18781559
  22.62527813 19.74074751 15.90988847 26.29087427]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.52486189 0.61605574 0.33496951 0.96516673 0.50464494 0.48988808
  0.32764013 0.93614755 0.63408327 0.45205358]]"
9,[[3 6 9]],[[3 4 5 6 9]],[[11 12 13 14 15 16 17 18 19 20]],5.9991966944018795,"[[27.60533523 27.07054381 28.3975417  21.11836897 23.84888917 30.46878272
  19.82324726 11.76039522 28.70174784 23.75496342]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.47286695 0.60858871 0.35112019 1.03424044 0.52152125 0.51420608
  0.32790376 0.97815242 0.70885412 0.48174279]]"
10,[[7 9]],[[2 4 5]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[25.74128062 18.27761642 28.17276184 25.91882352 22.49154333 14.21395621
  30.60506447 16.07176276 29.9161988  15.1991785 ]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.48550737 0.73297042 0.31491327 1.03049021 0.51049906 0.48872454
  0.3094482  0.905027   0.65618111 0.46841003]]"
11,[[2]],[[ 3  6  8 10]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[10.95464611 29.62196976 27.31173178 26.16279717 27.57536909 18.54943269
  23.46286388 22.58539205 21.6310858  16.27646487]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.48735638 0.6116973  0.34264017 0.93612338 0.45450511 0.52231735
  0.32313019 1.03212336 0.65121504 0.51273465]]"
