ReschMwToSave,ReschTimeToSave,cTaskToSave,ms,mwtoSave,opTaskToSave,timetoSave
[[3 8]],[[ 2  3  5  6  7  9 10]],[[11 12 13 14 15 16 17 18 19 20]],6.805792396487519,"[[20.94884787 25.95119857 30.43617082 15.71739256 17.06423499 24.63815557
  27.84258506 28.69791993 19.99802823 14.59708669]]",[[ 1  2  3  4  5  6  7  8  9 10]],"[[0.47142874 0.87145112 0.45342331 0.94321644 0.66802776 0.5316623
  0.35343572 0.99929911 0.88493473 0.62891318]]"
[[5]],[[ 4  6 10 14]],[[ 8 11 12 13 15 16 17 18 19 20]],6.08341305541221,"[[21.79810393 28.32796273 14.90016893 26.90946213 30.08081841 28.30304175
  17.34715618  0.          0.         16.46084597  0.          0.
   0.         22.37143548]]",[[ 1  2  3  4  5  6  7 10 14]],"[[0.44707726 0.69887307 0.43525582 0.96803534 0.64253609 0.60503929
  0.28809804 0.         0.         0.64108848 0.         0.
  0.         1.35740967]]"
[],[[1 2 3 4 5 7 8]],[[11 12 13 14 15 16 17 18 19 20]],6.437503702139222,"[[20.85389673 13.402831   14.06827544 27.63951165 24.91817915 13.00793243
  23.03554712 26.14540771  0.         14.49989782]]",[[ 1  2  3  4  5  6  7  8 10]],"[[0.5342732  0.74237737 0.46550245 1.18246315 0.68484988 0.55987161
  0.36358717 1.27496056 0.         0.62961831]]"
[[3 4]],[[2 4]],[[11 12 13 14 15 16 17 18 19 20]],5.968217682685642,"[[14.33276913 13.14040662 30.22400833 30.95712088 19.28733446 24.70076527
  13.68847294 16.36319825  0.         13.14682951]]",[[ 1  2  3  4  5  6  7  8 10]],"[[0.48457803 0.86408395 0.3087238  1.33504456 0.67897792 0.42850778
  0.35244395 0.94229643 0.         0.57356127]]"
[[ 3  7 10]],[[ 1  3  5  6  7  8 10]],[[11 12 13 14 15 16 17 18 19 20]],6.1935423509593885,"[[12.48610196 27.34387653 30.10228645 12.54853001 28.14864763 27.05378844
  31.44528607 16.74045021  0.         29.96245156]]",[[ 1  2  3  4  5  6  7  8 10]],"[[0.55407381 0.62173322 0.46502643 1.08488429 0.68772733 0.62416793
  0.38979116 1.14714185 0.         0.61899633]]"
[[1 3 5]],[[1 4]],[[ 7 11 12 13 14 15 16 17 18 19 20]],6.3433,"[[30.02294809 18.5113655  28.77766219 17.35566982 29.16978284 15.98779416
   0.         26.89819423  0.         12.99558253]]",[[ 1  2  3  4  5  6  8 10]],"[[0.60154981 0.60531433 0.33246292 1.27011407 0.64651529 0.45366957
  0.         1.10836733 0.         0.48524202]]"
[[2 8]],[[1 2 3 6]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[21.66275403 28.40850033 15.08559867 26.38266663 25.59628876 13.04915396
  21.73206231 30.95327074  0.         14.53894586]]",[[ 1  2  3  4  5  6  7  8 10]],"[[0.60164327 0.77455806 0.35230652 0.96690161 0.64284313 0.46499696
  0.37297215 0.85706516 0.         0.47631831]]"
[[2 3]],[[ 1  2  3  4  6 10]],[[ 8 11 12 13 15 16 17 18 19 20]],5.910000000000001,"[[24.49300258 30.17712667 31.0751686  14.17862999 25.03575479 23.90899011
  21.44465937  0.         19.19805871 21.47830402]]",[[ 1  2  3  4  5  6  7  9 10]],"[[0.62938379 0.80083854 0.39222764 1.12424238 0.58115948 0.54228867
  0.29728083 0.         0.67324877 0.57936714]]"
[],[[2 4 5 6 7 8]],[[11 12 13 14 15 16 17 18 19 20]],6.1321671579472286,"[[22.02388953 27.07366062 17.79785054 16.6966343  18.72094507 21.05163333
  26.48142044 22.13391486  0.         19.69984621]]",[[ 1  2  3  4  5  6  7  8 10]],"[[0.60953106 0.9185825  0.29963548 1.28875835 0.58746333 0.67585411
  0.30184352 1.01131205 0.         0.43918676]]"
[[7 9]],[[ 1  2  3  5  7 10]],[[11 12 13 14 15 16 17 18 19 20]],5.910000000000001,"[[22.6177847  16.08226295 25.56510478 13.35419511 15.91453595 13.26253056
  29.3031431   0.         28.43847071 14.64794673]]",[[ 1  2  3  4  5  6  7  9 10]],"[[0.67400788 0.92064054 0.39847583 0.92261714 0.59503299 0.53033053
  0.46500568 0.         0.67187026 0.61920264]]"
[[2]],[[4 6 8]],[[ 7  9 11 12 13 15 16 17 18 19 20]],5.9933000000000005,"[[25.11395703 30.99061735 24.28979359 13.60420913 19.52776718 15.56706684
   0.         16.80972407  0.         13.38770698]]",[[ 1  2  3  4  5  6  8 10]],"[[0.53786408 0.61078102 0.38817814 1.37216457 0.49550592 0.69721299
  0.         1.04239442 0.         0.48234365]]"
[],[[1 2 5 8 9]],[[ 7 11 12 13 14 15 16 17 18 19 20]],6.632819733306489,"[[18.91944754 22.87509505 21.19106198 24.72459486 22.20338328 27.95368981
   0.         14.24717107 21.25156614 23.66141223]]",[[ 1  2  3  4  5  6  8  9 10]],"[[0.67298299 0.85758317 0.35168412 1.30763009 0.6323045  0.59601235
  0.         1.06675125 0.69843684 0.44943443]]"
[[ 8 10]],[[5 8]],[[ 7 11 12 13 14 15 16 17 18 19 20]],6.3433,"[[26.84995965 27.60359017 17.99984741 14.59160092 19.55800107 28.23015947
   0.         28.47635048 25.10270681 30.73827494]]",[[ 1  2  3  4  5  6  8  9 10]],"[[0.47647232 0.79086059 0.29282674 1.16664982 0.65664479 0.56242464
  0.         1.09146369 0.621352   0.43277685]]"
[],[[ 1  3  6  9 10]],[[ 8 11 12 13 15 16 17 18 19 20]],5.910000000000001,"[[17.40556215 24.83193564 14.94317073 24.59260903 19.74626254 27.02249118
  24.86721869  0.         19.68025604 18.12335512]]",[[ 1  2  3  4  5  6  7  9 10]],"[[0.68435742 0.60802021 0.40214581 1.11444223 0.44329319 0.67188709
  0.37445474 0.         0.8495204  0.44159961]]"
